contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,50PLUS,Partij voor de Dieren,LOKAAL-LIMBURG,Forum voor Democratie,ChristenUnie,DENK
Maastricht,Beekdaelen,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Trefcentrum Nuth,1954::SB1,6361 CA,1232,709,6,1,0,0,0,635,80,0,1,0,0,0,715,131,102,60,48,19,58,82,19,36,33,110,6,5
Maastricht,Beekdaelen,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Basisschool de Bolster Nuth,1954::SB2,6361 XG,1468,751,2,4,0,0,0,671,84,0,2,0,0,0,755,133,104,52,73,34,63,93,30,32,22,108,6,1
Maastricht,Beekdaelen,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Zorgcentrum Op den Toren Nuth,1954::SB3,6361 EB,928,435,5,4,0,0,0,391,53,0,0,0,0,0,444,83,69,49,37,11,15,47,13,25,8,70,6,2
Maastricht,Beekdaelen,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Brasserie/B&B De Pletsmolen Nuth,1954::SB4,6361 EN,837,399,1,5,0,0,0,364,41,0,0,0,0,0,405,89,33,24,31,20,22,59,6,34,9,67,5,0
Maastricht,Beekdaelen,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau voormalige Servatiusschool Vaesrade,1954::SB5,6361 JE,840,424,1,2,0,0,0,369,58,0,0,0,0,0,427,76,79,40,33,8,17,25,14,10,17,102,3,0
Maastricht,Beekdaelen,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Gemeenschapshuis Wijnandsrade,1954::SB6,6363 BV,1338,822,4,2,0,0,0,745,83,0,0,0,0,0,828,151,64,68,96,33,61,102,41,61,34,95,15,1
Maastricht,Beekdaelen,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Gemeenschapshuis Schimmert,1954::SB7,6333 BD,1289,797,6,2,0,0,0,687,118,0,0,0,0,0,805,328,62,22,65,18,36,89,17,31,14,96,18,1
Maastricht,Beekdaelen,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Zaal 't Weverke Schimmert,1954::SB8,6333 BG,1349,862,0,1,0,0,0,763,100,0,0,0,0,0,863,379,61,30,61,30,32,85,25,31,24,81,23,0
Maastricht,Beekdaelen,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Zorgcentrum Panhuys Hulsberg,1954::SB9,6336 AH,1546,814,14,0,0,0,0,733,91,0,4,0,0,0,824,183,103,57,58,26,52,85,27,41,38,131,10,3
Maastricht,Beekdaelen,PS2019_Limburg,Provinciale Staten Limburg 2019,,Limburg,2019-03-20,Stembureau Kantine Voetbalver. Hulsberg,1954::SB10,6336 VT,1680,935,5,2,0,0,0,837,105,0,0,0,0,0,942,211,91,54,91,41,34,83,37,47,43,183,19,1
