contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),VVD,ChristenUnie,PVV (Partij voor de Vrijheid),Groninger Belang,GROENLINKS,Partij voor de Dieren,Partij voor het Noorden,Forum voor Democratie,50PLUS,DENK
,Veendam,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Gemeentehuis,0047::SB1,9641 AW,1234,802,1,1,0,5,1,722,76,0,5,0,0,0,799,58,130,45,45,67,35,77,122,42,21,43,93,16,8
,Veendam,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Cultuurcentrum van Beresteyn,0047::SB2,9641 AD,1450,960,3,3,0,0,0,886,80,0,0,0,0,0,966,84,127,49,47,81,47,80,135,55,34,30,135,23,33
,Veendam,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Waterschap Hunze en Aa's,0047::SB3,9641 PJ,1174,467,3,0,0,0,0,420,50,0,0,0,0,0,470,52,62,31,21,34,29,34,60,16,9,33,70,15,1
,Veendam,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Huize St Franciscus,0047::SB4,9641 LW,1201,614,3,6,0,0,0,565,58,0,0,0,0,0,623,60,94,44,26,52,47,40,79,53,15,30,60,12,2
,Veendam,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Woonzorgcentrum A.G. Wildervanck,0047::SB5,9642 LN,1309,548,4,3,0,0,0,505,50,0,0,0,0,0,555,55,64,28,24,64,12,40,102,29,10,18,75,19,8
,Veendam,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Verpleeghuis Meander,0047::SB6,9642 AP,849,447,2,0,0,0,0,408,41,0,0,0,0,0,449,51,58,31,20,32,29,35,60,18,14,20,55,15,9
,Veendam,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Zorglokatie Meander: De Breehorn,0047::SB7,9641 LK,1164,496,3,3,1,0,0,464,39,0,0,1,0,0,503,68,77,32,12,21,33,47,58,34,13,16,70,9,6
,Veendam,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Wijkcentrum Dukdalf,0047::SB8,9642 MA,1709,1052,1,3,0,0,2,962,94,0,0,2,2,0,1058,117,161,51,41,67,62,69,174,73,15,42,144,27,9
,Veendam,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau O.B.S. de Viermaster,0047::SB9,9642 KX,1188,652,0,1,0,0,0,598,55,0,0,0,0,0,653,70,88,37,26,51,38,53,100,50,9,24,94,12,0
,Veendam,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Woon en zorgcentrum Westerhave,0047::SB10,9648 BE,1554,793,1,0,0,0,2,726,65,0,1,0,1,0,793,77,94,36,35,84,31,63,139,48,19,23,117,24,3
,Veendam,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Bijleveldcentrum,0047::SB11,9648 CM,1220,616,1,3,0,0,0,573,47,0,0,0,0,0,620,62,79,26,20,41,32,68,105,39,21,25,76,21,1
,Veendam,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau O.B.S. de Sleutel,0047::SB12,9648 KK,1364,581,0,5,0,0,0,534,52,0,0,0,0,0,586,57,44,27,13,33,29,87,105,38,17,24,86,20,1
,Veendam,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Dorpshuis de Molenwiek,0047::SB13,9644 VL,1338,720,2,3,0,0,0,672,53,0,0,0,0,0,725,101,79,31,20,45,23,83,127,39,16,34,101,21,0
,Veendam,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Woonzorgcomplex De Meridiaan,0047::SB14,9645 HC,2236,1004,1,3,0,0,0,919,89,0,0,0,0,0,1008,151,129,33,30,41,40,116,123,34,25,34,157,31,60
,Veendam,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Buurthuis Noord-West,0047::SB15,9645 BC,986,383,1,0,0,0,0,345,39,0,0,0,0,0,384,59,53,12,8,12,20,52,36,15,8,15,74,10,9
,Veendam,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau O.S.G. Winkler Prins,0047::SB16,9646 AA,1569,921,1,0,0,0,0,836,86,0,0,0,0,0,922,76,131,56,49,96,51,47,170,59,16,35,112,19,4
,Veendam,PS2019_Groningen,Provinciale Staten Groningen 2019,,Groningen,2019-03-20,Stembureau Kantine VV Borgercompagnie,0047::SB17,9631 TN,374,262,1,0,0,0,0,232,31,0,0,0,0,0,263,33,28,4,13,42,14,20,35,16,15,14,23,5,0
