contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,GROENLINKS,Partij voor de Dieren,50PLUS/PARTIJ VAN DE OUDEREN,Ouderenpartij Noord-Holland,NIDA,Code Oranje,Forum voor Democratie,DENK,ChristenUnie
Haarlem,Zandvoort,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau Zandvoorts Museum,0473::SB1,2042 KA,1248,863,4,3,0,0,2,776,92,0,0,0,0,0,870,154,56,84,82,28,48,56,47,22,39,2,8,228,0,9
Haarlem,Zandvoort,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau Strandhotel Centerparcs,0473::SB2,2041 JB,1292,544,0,2,0,1,1,506,40,0,0,1,0,0,547,79,23,37,63,16,41,39,30,15,19,0,8,162,2,10
Haarlem,Zandvoort,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau Oranje Nassauschool,0473::SB3,2042 CH,1391,915,1,6,0,0,2,829,91,0,0,0,0,0,922,209,79,66,63,22,80,69,50,15,34,1,11,195,4,17
Haarlem,Zandvoort,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,"Stembureau Stembureau Brede-School ""De Blauwe Tram""",0473::SB4,2042 VD,1560,669,0,2,0,0,1,612,58,0,0,0,0,0,671,154,42,69,55,25,61,52,25,12,22,0,5,137,0,10
Haarlem,Zandvoort,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau Rode Kruisgebouw,0473::SB5,2041 NN,1576,763,4,1,0,0,0,689,79,0,0,0,0,0,768,83,43,63,126,31,71,31,45,23,21,0,12,204,2,8
Haarlem,Zandvoort,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,"Stembureau Stembureau Brede-school ""De Blauwe Tram""",0473::SB6,2042 VD,1114,628,4,0,0,0,0,564,69,1,0,1,0,0,633,149,37,48,52,18,47,55,28,19,27,0,4,135,1,8
Haarlem,Zandvoort,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau Stichting Pluspunt Zandvoort (A),0473::SB7,2041 VW,2202,560,3,7,0,0,0,526,44,0,0,0,0,0,570,52,21,44,68,29,33,49,31,24,27,0,9,166,2,5
Haarlem,Zandvoort,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau Woonzorgcentrum Huis in de Duinen,0473::SB8,2042 XR,935,443,4,0,0,0,0,403,44,0,0,0,0,0,447,80,26,31,48,17,43,34,20,15,21,1,2,101,0,4
Haarlem,Zandvoort,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau Nieuw-Unicum,0473::SB9,2042 XK,170,110,3,0,0,0,0,107,6,0,0,0,0,0,113,14,14,8,2,19,10,13,5,3,3,0,2,9,2,6
Haarlem,Zandvoort,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau Woonzorgcentrum  A.G.Bodaan,0473::SB10,2116 TR,799,541,1,1,0,0,0,487,56,0,0,0,0,0,543,226,70,35,18,6,33,35,17,13,8,0,3,68,0,9
Haarlem,Zandvoort,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau Stichting Pluspunt Zandvoort (B),0473::SB11,2041 VP,0,530,6,7,0,0,0,499,44,0,0,0,0,0,543,52,16,41,82,21,45,36,22,12,33,0,1,150,11,8
Haarlem,Zandvoort,PS2019_NoordHolland,Provinciale Staten Noord-Holland 2019,,Noord-Holland,2019-03-20,Stembureau Stembureau Station NS,0473::SB12,2041 AB,1079,955,3,6,0,0,0,875,89,0,0,0,0,0,964,172,69,60,109,29,50,87,58,22,19,0,10,256,4,10
