contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Democraten 66 (D66),ChristenUnie,GROENLINKS,50PLUS,Sterk Lokaal,Forum voor Democratie,Partij voor de Dieren,Onafhankelijke Partij Drenthe,DENK,Staatkundig Gereformeerde Partij (SGP),Senioren Belang
,Westerveld,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau RSG Stad en Esch,1701::SB1,7981 BC,1389,817,1,0,0,0,0,819,0,0,0,1,0,0,819,125,100,73,43,26,23,44,86,18,125,83,41,19,2,9,0
,Westerveld,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Villa Nova Zorgvlied,1701::SB2,8437 PB,388,251,1,2,0,0,0,220,33,0,1,0,1,0,253,54,11,18,11,25,16,7,26,8,12,27,26,8,0,0,2
,Westerveld,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis  Oens Huus,1701::SB3,7983 KL,510,350,1,0,0,0,0,319,32,0,0,0,0,0,351,111,28,35,10,5,15,6,33,5,24,46,22,7,0,2,1
,Westerveld,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Ons Dorpshuis,1701::SB4,8384 EE,1411,824,2,1,0,0,0,761,66,0,0,0,0,0,827,136,102,64,64,65,37,32,84,24,24,105,55,14,0,12,6
,Westerveld,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Woonzorgcentrum De Weyert,1701::SB5,7991 BN,1361,859,5,2,0,0,0,790,76,0,0,0,0,0,866,134,166,111,43,43,55,37,84,29,41,63,26,20,0,1,6
,Westerveld,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Buurthuis De Gowe,1701::SB6,7991 TD,755,475,1,0,0,0,0,434,42,0,0,0,0,0,476,89,24,69,26,9,27,44,74,14,15,31,41,8,0,3,1
,Westerveld,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Hotel  De Börken,1701::SB7,7991 PJ,410,326,0,0,0,0,0,291,35,0,0,0,0,0,326,69,27,42,9,7,19,13,55,7,15,19,28,11,0,3,2
,Westerveld,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis  De Veldkei,1701::SB8,7971 BX,1083,736,0,1,0,0,0,691,48,0,0,2,0,0,739,162,95,56,44,32,43,19,72,44,13,96,35,13,0,7,5
,Westerveld,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis  De Wiekslag,1701::SB9,8351 HR,646,418,3,0,0,0,0,379,42,0,0,0,0,0,421,93,40,23,12,26,19,14,48,7,22,61,43,7,0,1,2
,Westerveld,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis  De Vlasbarg'n,1701::SB10,7975 BX,1173,743,3,0,0,0,0,691,55,0,0,0,0,0,746,127,102,59,30,40,37,21,88,47,34,86,48,18,0,1,5
,Westerveld,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Dorpshuis  De Stobbe,1701::SB11,7973 KG,763,406,1,0,0,0,0,357,50,0,0,0,0,0,407,33,36,32,27,44,11,20,39,23,13,89,22,9,1,3,4
,Westerveld,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau De Rand van Havelte,1701::SB12,7971 AK,905,569,0,0,0,9,0,526,52,0,0,9,0,0,578,112,79,39,23,8,43,23,57,41,31,80,19,8,0,0,6
,Westerveld,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau De Tippe,1701::SB13,8381 BX,1368,854,7,2,0,1,0,770,92,0,1,0,0,0,862,131,126,62,40,44,47,39,93,30,42,118,50,21,1,7,3
,Westerveld,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Gemeentehuis Diever,1701::SB14,7981 EL,1081,803,0,1,0,1,0,731,74,0,0,1,0,0,805,94,80,118,20,37,42,56,104,28,90,64,49,7,0,12,2
