contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Staatkundig Gereformeerde Partij (SGP),SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),ChristenUnie,Partij voor Zeeland (PVZ),GROENLINKS,50PLUS,DENK,Partij voor de Dieren,Forum voor Democratie
,Goes,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Gasthuis,0664::SB1,,1342,837,2,4,0,0,0,764,79,0,0,0,0,0,843,207,95,50,41,35,83,57,37,31,56,25,0,40,80
,Goes,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Ter Valcke,0664::SB2,,1325,896,1,6,0,0,0,799,104,0,0,0,0,0,903,175,70,125,40,55,91,51,34,35,52,38,5,31,94
,Goes,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau De Wingerd,0664::SB3,,1399,1037,3,3,0,0,0,927,115,0,1,0,1,0,1042,236,97,158,22,29,62,45,138,21,83,32,2,40,72
,Goes,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Randhof,0664::SB4,,1388,657,0,2,0,5,0,604,60,0,0,5,0,0,664,126,32,81,48,42,56,28,29,33,45,38,3,25,71
,Goes,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Stadskantoor,0664::SB5,,1521,999,3,2,0,0,0,905,100,1,0,1,0,0,1005,216,120,26,54,45,87,46,45,41,94,50,1,42,132
,Goes,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau De Westkant,0664::SB6,,1462,671,1,3,0,0,0,599,76,0,0,0,0,0,675,120,64,44,51,54,78,25,41,25,57,23,3,18,68
,Goes,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau De Spinne 1,0664::SB7,,1824,582,1,0,0,0,0,516,67,0,0,0,0,0,583,79,29,23,57,41,58,26,40,16,44,46,6,33,84
,Goes,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau Erasmuspark,0664::SB8,,1522,981,1,0,0,0,0,882,98,0,2,0,2,0,980,182,46,67,60,77,97,25,67,52,79,51,22,35,121
,Goes,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau De Spinne 2,0664::SB9,,1457,745,2,3,0,0,0,682,68,0,0,0,0,0,750,120,56,30,61,66,83,32,55,40,51,40,10,30,71
,Goes,PS2019_Zeeland,Provinciale Staten Zeeland 2019,,Zeeland,2019-03-20,Stembureau De Pit,0664::SB10,,1321,748,5,2,0,0,0,692,63,0,0,0,0,0,755,174,36,42,55,61,83,25,42,27,57,47,3,23,73
