contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),Staatkundig Gereformeerde Partij (SGP),ChristenUnie,GROENLINKS,Partij voor de Dieren,50PLUS,DENK,NIDA,Code Oranje,Forum voor Democratie,Lokale Partijen Zuid Holland (LPZH),JEZUS LEEFT
Dordrecht,Nissewaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Wijkcentrum Noord,1930::SB1,3202GN,2716,1266,2,7,0,0,1,1153,123,2,0,2,0,0,1277,122,186,45,69,129,88,13,54,83,49,75,15,1,2,307,27,1
Dordrecht,Nissewaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Rivièrabad,1930::SB2,3202ST,1506,701,0,3,0,0,0,656,48,0,0,0,0,0,704,84,105,23,46,63,52,11,23,38,25,50,9,2,1,150,18,1
Dordrecht,Nissewaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Charles de Foucauld Mavo,1930::SB3,3202GR,1156,536,1,2,0,0,0,486,53,0,0,0,0,0,539,43,89,19,29,41,31,2,21,33,20,14,10,1,4,159,19,1
Dordrecht,Nissewaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Buurthuis De Hoek,1930::SB4,3201HS,2026,842,1,5,0,0,0,752,96,0,0,0,0,0,848,64,141,38,21,74,79,2,17,40,36,74,20,0,3,219,13,1
Dordrecht,Nissewaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau De Vier Ambachten,1930::SB5,3201CZ,2192,722,4,3,0,0,0,658,70,1,1,0,0,0,728,86,106,38,44,70,55,2,29,41,23,47,9,4,2,147,18,1
Dordrecht,Nissewaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Serviceflat Puttesteijn,1930::SB6,3201DB,1508,631,1,2,0,0,0,593,41,0,0,0,0,0,634,56,110,20,33,69,46,6,16,26,42,55,11,0,2,122,13,4
Dordrecht,Nissewaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau School Paus Johannes,1930::SB7,3204AK,1724,805,2,1,0,0,0,744,64,0,0,0,0,0,808,82,122,43,57,60,58,9,31,48,27,53,10,3,2,183,15,2
Dordrecht,Nissewaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau School Paus Johannes,1930::SB8,3204AK,1864,755,2,3,0,0,0,699,61,0,0,0,0,0,760,91,108,38,55,64,57,8,36,38,26,53,3,0,1,167,9,1
Dordrecht,Nissewaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau School De Marimba (Nieuwe locatie),1930::SB10,3203AC,2035,631,3,2,0,0,0,581,55,0,0,0,0,0,636,74,72,30,44,54,42,5,37,48,31,38,9,1,0,131,13,2
Dordrecht,Nissewaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau School De Vogelenzang,1930::SB11,3208SG,2421,1183,3,4,0,0,1,1086,104,0,0,1,0,0,1191,132,135,57,54,126,63,10,34,66,41,95,4,1,5,332,28,0
Dordrecht,Nissewaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau School De Vogelenzang,1930::SB12,3208AK,1175,605,1,0,0,0,0,548,58,0,0,0,0,0,606,41,130,14,21,56,49,4,19,29,26,54,5,0,0,146,9,2
Dordrecht,Nissewaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau School De Tandem,1930::SB13,3208PA,1756,706,0,2,0,2,0,649,61,0,0,2,0,0,710,54,120,26,36,71,57,2,23,34,27,64,12,0,1,158,18,3
Dordrecht,Nissewaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Wijkcentrum De Akkers,1930::SB14,3206TB,1941,942,8,4,0,0,1,883,70,0,0,0,0,0,954,59,169,22,37,107,98,4,20,53,49,70,10,1,4,221,14,4
Dordrecht,Nissewaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau School De Vogelenzang,1930::SB15,3206RD,1976,681,3,1,0,0,0,628,57,0,0,0,0,0,685,51,99,28,13,70,52,7,19,39,26,61,2,0,0,193,19,2
Dordrecht,Nissewaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Wijkcentrum De Kreek,1930::SB16,3206HK,2603,1117,3,9,0,0,0,1008,121,0,0,0,0,0,1129,91,182,34,35,75,88,11,50,62,42,75,14,0,1,319,32,6
Dordrecht,Nissewaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau School Toermalijn/De Bron,1930::SB17,3204GB,2312,920,8,3,0,2,0,835,94,0,2,0,0,0,929,56,176,27,25,83,86,4,18,31,42,66,16,2,2,259,24,3
Dordrecht,Nissewaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Dorpshuis Hekelingen,1930::SB19,3209AT,1291,740,0,7,0,0,1,665,81,0,0,0,0,0,747,127,96,35,37,68,26,22,16,40,34,42,0,0,3,187,7,0
Dordrecht,Nissewaard,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau School De Duif,1930::SB20,3205TG,2100,1073,2,4,0,0,2,957,120,0,0,0,0,0,1079,137,161,61,50,109,68,9,44,83,40,58,8,1,3,222,18,1
