contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),GROENLINKS,ChristenUnie,Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),50PLUS,DENK,U26 GEMEENTEN,Forum voor Democratie
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Stadskantoor,0344::SB1,4141 DA,2335,1260,3,1,0,0,0,1064,200,0,0,0,0,0,1264,165,68,100,98,92,63,98,123,34,94,37,29,2,257
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Maranatha,0344::SB2,4141 EL,1971,1364,2,1,0,4,0,1191,180,0,0,4,0,0,1371,178,46,172,74,68,46,63,186,42,229,32,16,8,204
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Joh. Calvijnschool,0344::SB3,4143 BA,2015,947,2,2,0,0,0,820,131,0,0,0,0,0,951,81,26,126,44,72,35,58,106,20,216,24,9,7,123
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Huis ter Leede - Rondas,0344::SB4,4143 EN,2000,1553,1,6,0,1,2,1361,198,0,0,1,0,0,1561,181,78,202,110,103,68,82,182,33,147,66,25,2,274
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Poort van West,0344::SB5,4142 AZ,1608,603,1,5,0,0,0,534,75,0,0,0,0,0,609,62,14,39,48,50,24,32,40,16,47,18,88,2,123
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Partycentrum,0344::SB6,4145 KM,1511,1026,0,3,0,0,0,879,150,0,0,0,0,0,1029,107,39,155,32,59,15,44,103,12,310,14,2,6,128
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Present Emma,0344::SB7,4142 BV,1722,658,4,5,0,0,0,563,104,0,0,0,0,0,667,38,13,52,55,79,36,38,47,16,43,12,121,3,105
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Basisschool  El Boukhari,0344::SB8,4142 EB,2264,950,4,1,0,0,0,795,160,0,0,0,0,0,955,79,20,82,51,77,44,64,74,19,60,35,190,8,147
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Dorpshuis De Stoof,0344::SB9,4247 EN,660,429,1,0,0,0,0,378,52,0,0,0,0,0,430,98,25,44,25,33,22,36,9,18,20,14,1,1,83
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Stadhuis,0344::SB10,4132 AS,1804,1356,4,1,0,1,0,1223,139,0,0,1,0,0,1362,244,187,133,114,54,44,163,50,69,50,49,15,7,177
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Rank,0344::SB11,4132 CC,1960,1095,3,8,0,0,0,986,120,0,0,0,0,0,1106,169,103,140,110,100,39,103,41,33,9,40,23,13,172
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Zorgcentrum Hof van Batenstein,0344::SB12,4131 HA,1457,739,2,3,0,0,0,681,63,0,0,0,0,0,744,80,42,112,79,85,48,56,30,30,14,33,10,5,115
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Prenter,0344::SB13,4131 GZ,1575,801,3,4,0,0,0,735,74,1,0,1,0,0,809,52,39,85,71,103,55,79,24,21,16,35,37,10,174
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Wiekslag,0344::SB14,4133 EA,2148,1280,3,3,0,0,0,1133,154,1,0,1,0,0,1287,221,127,159,104,125,36,113,38,48,10,45,8,14,232
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau  De Hoeksteen,0344::SB15,4133 NB,1721,992,3,2,0,2,0,903,96,0,0,2,0,0,999,115,81,112,83,127,62,95,47,37,11,37,23,5,157
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Clubgebouw Brederodes,0344::SB16,4133 AX,1888,1019,1,3,0,0,0,918,105,0,0,0,0,0,1023,166,84,116,76,105,48,61,47,30,17,36,13,11,209
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Dorpshuis De Biezen,0344::SB17,4124 AK,1666,928,4,2,0,0,0,822,112,0,0,0,0,0,934,162,48,142,40,52,37,50,82,27,86,34,4,2,162
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Dorpshuis 't Knooppunt,0344::SB18,4121 EL,849,557,0,2,0,0,0,509,50,0,0,0,0,0,559,75,47,85,39,43,17,37,36,9,50,29,6,9,75
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Ver.gebouw De Krooshof,0344::SB19,4122 GX,788,491,0,1,0,0,0,433,59,0,0,0,0,0,492,59,11,88,25,28,14,27,71,14,83,9,1,0,61
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Gemeentehuis,0344::SB20,4231 BP,1423,1117,2,1,0,0,0,992,128,0,0,0,0,0,1120,119,31,241,75,57,34,35,161,25,177,18,0,4,140
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Linde,0344::SB21,4231 DT,1633,893,1,1,0,1,0,791,105,0,0,1,0,0,896,116,24,172,35,51,27,25,140,18,116,31,0,6,132
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Hoven,0344::SB22,4233 EZ,1480,854,2,1,0,1,0,755,103,0,0,1,0,0,858,84,17,175,53,42,20,30,177,11,110,3,0,2,130
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Open Vensters,0344::SB23,4233 HM,1553,1103,4,4,0,0,0,977,134,0,0,0,0,0,1111,101,50,246,69,51,28,45,181,12,165,28,0,2,125
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Bijenkorf,0344::SB24,4128 SZ,1897,1272,0,3,0,0,0,1131,144,0,0,0,0,0,1275,141,44,375,109,60,32,60,97,22,177,15,2,2,136
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau School met de Bijbel,0344::SB25,4126 RT,830,572,2,2,0,0,0,495,81,0,0,0,0,0,576,51,24,134,17,19,14,25,72,7,130,11,0,0,68
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau CBS Eben-Haëzer,0344::SB26,4245 KR,1168,761,0,2,0,0,0,654,109,0,0,0,0,0,763,38,9,57,7,15,7,18,47,12,492,10,2,1,46
,Vijfheerenlanden,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Brandpunt,0344::SB27,4243 JA,743,505,3,1,0,0,0,444,65,0,0,0,0,0,509,38,4,72,14,19,5,10,79,4,191,12,0,3,54
