contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),PVV (Partij voor de Vrijheid),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),GROENLINKS,50PLUS,Partij voor de Dieren,Forum voor Democratie,DENK
,Losser,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau t Lossers hoes,0168::SB1,,1666,1264,4,3,0,0,0,1150,121,0,0,0,0,0,1271,274,167,69,99,85,100,31,1,97,64,26,244,7
,Losser,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau KBS De Verrekijker,0168::SB2,,1684,1011,4,4,0,1,0,927,93,0,0,1,0,0,1020,182,133,96,85,70,95,16,2,89,48,20,173,2
,Losser,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau RK school De Wegwijzer,0168::SB3,,1726,930,4,1,0,0,0,864,71,0,0,0,0,0,935,195,86,42,79,52,140,14,3,54,57,27,175,6
,Losser,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Basisschool De Saller,0168::SB4,,1644,795,1,2,0,1,0,729,70,0,0,1,0,0,799,145,165,46,64,56,61,6,3,60,32,20,137,0
,Losser,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Maartens-Stede & Oldenhove,0168::SB5,,1921,854,2,1,0,0,0,759,98,0,0,0,0,0,857,176,133,46,76,71,81,13,1,52,48,20,136,1
,Losser,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Zwembad Brilmansdennen,0168::SB6,,1544,859,2,2,0,1,1,794,69,0,0,1,0,0,864,173,126,68,56,41,91,23,6,52,56,26,139,2
,Losser,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Woonzorgcentrum De Driehoek,0168::SB7,,1501,720,3,1,0,0,0,648,76,0,0,0,0,0,724,170,73,40,42,21,121,9,2,36,41,30,135,0
,Losser,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau OBS Het Kompas / Kulturhus,0168::SB8,,1662,878,2,6,0,0,0,802,82,0,2,0,2,0,884,102,72,74,73,33,138,15,6,54,61,28,220,2
,Losser,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Dorpshuis De Glaan,0168::SB9,,391,266,1,0,0,0,0,232,35,0,0,0,0,0,267,84,40,14,9,12,31,2,0,12,16,12,34,0
,Losser,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Sporthal de Luttermolen,0168::SB10,,1317,638,1,3,0,0,2,568,72,0,0,0,0,0,642,212,122,16,25,30,49,7,0,35,19,12,111,0
,Losser,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Erve Boerrigter,0168::SB11,,1603,1046,0,1,0,2,0,924,121,0,2,0,0,0,1045,386,152,37,38,45,66,14,7,62,45,21,172,1
,Losser,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau Mariaschool Beuningen,0168::SB12,,711,498,1,0,0,1,1,448,49,0,1,0,0,0,498,252,66,7,16,11,34,10,2,29,7,6,58,0
,Losser,PS2019_Overijssel,Provinciale Staten Overijssel 2019,,Overijssel,2019-03-20,Stembureau De LosserHof,0168::SB13,,551,163,1,0,0,0,0,145,19,0,0,0,0,0,164,76,18,7,3,7,21,1,1,10,3,3,13,0
