contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Democraten 66 (D66),SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),GROENLINKS,Partij voor de Dieren,50PLUS,Lokale Partijen Gelderland-Code Oranje,Forum voor Democratie,DENK
Nijmegen,Tiel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Stadhuis,0281::SB1,4001 MV,1985,967,6,2,0,0,0,876,99,0,0,0,0,0,975,146,46,63,59,94,108,27,9,93,69,52,10,174,17
Nijmegen,Tiel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Verenigingsgebouw AVGN,0281::SB2,4001 WJ,1515,782,2,1,0,0,0,699,86,0,0,0,0,0,785,112,49,38,43,88,88,31,2,49,56,45,8,146,27
Nijmegen,Tiel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Zorgcentrum Walstede,0281::SB3,4001 HE,1455,773,5,4,0,0,0,708,74,0,0,0,0,0,782,133,59,54,47,61,84,28,3,69,41,39,7,141,7
Nijmegen,Tiel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Verenigingsgebouw KTVM,0281::SB4,4001 HZ,1842,701,1,6,0,0,0,645,63,0,0,0,0,0,708,57,19,27,56,123,70,21,3,44,23,49,5,153,51
Nijmegen,Tiel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Centrum Oosthonk,0281::SB5,4005 VR,1747,868,1,2,0,0,0,761,110,0,0,0,0,0,871,104,42,41,67,91,76,28,6,59,35,40,10,186,83
Nijmegen,Tiel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau De Vier Gravinnen,0281::SB6,4001 RZ,2061,865,4,3,0,0,1,749,122,0,0,0,0,0,872,94,75,49,45,60,88,31,5,80,37,55,8,127,111
Nijmegen,Tiel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau De Achtbaan,0281::SB7,4005 VP,1739,647,3,4,0,0,0,583,71,0,0,0,0,0,654,75,24,31,39,89,54,18,1,34,21,30,4,168,59
Nijmegen,Tiel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Verpleeghuis Vrijthof,0281::SB8,4003 CA,1695,866,2,3,0,1,0,775,95,0,1,0,0,0,870,175,90,78,33,47,86,40,6,82,38,42,10,138,1
Nijmegen,Tiel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Betuwe Sporthal,0281::SB9,4006 AJ,2316,918,2,4,0,0,0,789,135,0,0,0,0,0,924,79,57,58,61,94,113,27,11,73,36,55,11,149,94
Nijmegen,Tiel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Zorgcentrum Lingewaarde,0281::SB10,4002 AG,1705,970,2,2,0,0,0,857,117,0,0,0,0,0,974,183,96,65,41,72,112,34,4,83,45,47,10,165,13
Nijmegen,Tiel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Centrum Westroyen,0281::SB11,4003 AL,1577,743,0,2,0,0,0,662,83,0,0,0,0,0,745,68,50,37,52,85,77,28,3,54,31,45,15,139,59
Nijmegen,Tiel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau activiteitengebouw kerk Wadenoijen,0281::SB12,4014 MB,1511,874,0,2,0,0,0,762,114,0,0,0,0,0,876,179,74,34,16,63,71,40,76,57,25,35,11,191,2
Nijmegen,Tiel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Drumptse Hof,0281::SB13,4003 GA,1627,1110,2,1,0,0,0,988,125,0,0,0,0,0,1113,238,98,83,51,74,115,50,7,83,38,69,10,189,5
Nijmegen,Tiel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau ROC Rivor,0281::SB14,4003 KZ,1589,826,6,0,0,0,0,738,95,1,0,1,0,0,833,140,60,59,36,70,97,33,6,72,25,51,11,156,10
Nijmegen,Tiel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,"Stembureau Prins Mauritsschool, locatie Passewaaij",0281::SB15,4007 HD,1943,522,1,0,0,0,0,450,73,0,0,0,0,0,523,121,32,52,27,33,39,32,4,35,20,35,3,82,7
Nijmegen,Tiel,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Rotondaschool,0281::SB16,4007 TJ,1851,1219,1,3,0,1,0,1079,143,0,1,0,0,0,1222,253,70,112,48,73,117,52,7,109,35,60,13,261,9
