contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PVV (Partij voor de Vrijheid),Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),Staatkundig Gereformeerde Partij (SGP),ChristenUnie,GROENLINKS,Partij voor de Dieren,50PLUS,DENK,NIDA,Code Oranje,Forum voor Democratie,Lokale Partijen Zuid Holland (LPZH),JEZUS LEEFT
Dordrecht,Westland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Naaldwijk Gemeentehuis Verdilaan,1783::SB1,2671 VW,1475,1516,3,4,0,0,0,1354,169,0,0,0,0,0,1523,328,104,106,258,62,32,14,46,78,36,67,13,7,7,337,21,0
Dordrecht,Westland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Naaldwijk Bibliotheek,1783::SB2,2671 GK,1475,693,5,1,0,0,1,631,67,0,0,0,0,0,699,142,54,37,177,37,11,5,22,29,15,40,7,0,0,113,2,2
Dordrecht,Westland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Naaldwijk Montessorischool,1783::SB3,2671 TB,1475,354,2,1,0,0,0,314,43,0,0,0,0,0,357,72,21,31,55,21,16,6,12,16,7,10,12,0,1,72,2,0
Dordrecht,Westland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Naaldwijk Wijkcentrum Hooge Hasta,1783::SB4,2672 HC,1475,452,3,0,0,0,0,411,44,0,0,0,0,0,455,107,28,33,43,19,14,2,13,25,14,24,1,3,1,120,4,1
Dordrecht,Westland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Naaldwijk Gemeentekantoor Ln vd Glazen Stad,1783::SB5,2672 TA,1475,637,0,1,0,0,2,555,81,0,0,0,0,0,638,159,42,46,89,26,11,3,22,18,20,12,2,4,1,181,1,0
Dordrecht,Westland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Naaldwijk Careyn Rozenhof,1783::SB6,2671 KH,1475,957,1,5,0,0,0,867,96,0,0,0,0,0,963,192,63,42,205,31,21,24,67,21,23,33,7,3,3,218,3,1
Dordrecht,Westland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Naaldwijk Gymzaal Wollegras,1783::SB7,2671 ZZ,1475,1032,2,2,0,0,1,909,126,0,0,0,0,0,1036,217,62,62,157,76,26,10,37,45,24,38,2,1,6,260,9,0
Dordrecht,Westland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Naaldwijk De Binnenhof,1783::SB8,2671 EG,1475,880,4,1,0,0,2,794,90,0,0,1,0,0,886,203,53,42,134,31,30,2,32,52,22,42,7,1,3,220,4,2
Dordrecht,Westland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Naaldwijk Openbare Daltonschool,1783::SB9,2672 BB,1475,725,3,1,0,0,0,655,74,0,0,0,0,0,729,183,34,41,105,37,25,13,27,42,25,33,3,0,1,153,3,0
Dordrecht,Westland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Naaldwijk Brandweerkazerne,1783::SB10,2671 JP,1475,871,1,2,0,0,0,768,106,0,0,0,0,0,874,184,51,53,135,36,23,3,28,36,21,48,8,0,2,237,4,2
Dordrecht,Westland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Naaldwijk Careyn zorgcentrum Woerdblok,1783::SB11,2673 CX,1475,1167,2,2,0,0,0,1023,148,0,0,0,0,0,1171,356,56,60,231,38,14,10,41,30,17,30,0,0,2,269,13,0
Dordrecht,Westland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Naaldwijk De Regenboog,1783::SB12,2672 DR,1475,838,3,2,0,1,0,730,114,0,0,1,0,0,844,229,30,50,140,33,19,5,23,32,21,29,3,0,3,213,8,0
Dordrecht,Westland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Naaldwijk ISW Lage Woerd,1783::SB13,2671 AD,1475,232,0,0,0,0,2,206,24,0,0,0,0,0,232,58,18,18,28,8,12,0,7,9,1,0,10,0,0,63,0,0
Dordrecht,Westland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Honselersdijk De Hunselaer,1783::SB14,2675 XJ,1475,763,3,3,0,0,0,686,83,0,0,0,0,0,769,135,66,51,130,37,13,2,23,30,25,39,2,8,0,194,8,0
Dordrecht,Westland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Honselersdijk Zalencentrum Hemelsblauw,1783::SB15,2675 CL,1475,1357,4,0,0,0,0,1226,135,0,0,0,0,0,1361,293,91,73,261,42,36,6,33,54,25,36,2,2,3,392,7,1
Dordrecht,Westland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Honselersdijk Basisschool De Hoeksteen,1783::SB16,2675 XT,1475,596,0,0,0,0,0,519,77,0,0,0,0,0,596,116,65,34,105,22,12,2,19,22,8,17,9,0,5,155,5,0
Dordrecht,Westland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Honselersdijk Openbare Daltonschool,1783::SB17,2675 WJ,1475,293,1,0,0,0,0,265,29,0,0,0,0,0,294,69,22,24,51,13,3,2,8,7,13,0,5,0,0,75,1,0
Dordrecht,Westland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Maasdijk Basisschool Het Kompas,1783::SB18,2676 XH,1475,804,7,4,1,1,0,701,116,0,0,2,0,0,817,140,102,21,109,26,18,20,50,11,11,23,1,2,2,262,4,2
Dordrecht,Westland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau Maasdijk Kerkgebouw De Hoeksteen,1783::SB19,2676 VP,1475,1157,2,3,0,0,0,1012,149,0,1,0,1,0,1161,230,88,44,214,28,19,28,70,11,19,48,3,0,1,348,6,0
Dordrecht,Westland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau 's-Gravenzande voormalig Gemeentekantoor,1783::SB20,2691 BE,1475,878,2,0,0,1,1,786,94,0,0,1,0,0,881,186,51,40,153,33,17,32,45,42,16,47,0,0,2,203,5,6
Dordrecht,Westland,PS2019_ZuidHolland,Provinciale Staten Zuid-Holland 2019,,Zuid-Holland,2019-03-20,Stembureau 's-Gravenzande Zwembad Maesemunde,1783::SB21,2691 GH,1475,462,0,2,0,0,0,400,64,0,0,0,0,0,464,106,31,16,53,16,3,15,37,19,12,21,1,0,1,129,1,1
