contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),GROENLINKS,ChristenUnie,Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),50PLUS,DENK,U26 GEMEENTEN,Forum voor Democratie
,Wijk bij Duurstede,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Stembureau Huis van de Gemeente,0352::SB1,3962 CL,1900,1682,6,2,0,3,5,1511,177,0,0,3,0,0,1693,318,114,150,98,93,120,338,48,78,16,49,14,30,216
,Wijk bij Duurstede,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Stembureau E en E Gasthuis,0352::SB2,3961 CR,1553,630,1,6,0,0,0,591,46,0,0,0,0,0,637,80,27,93,43,60,70,72,38,19,4,29,11,13,71
,Wijk bij Duurstede,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Stembureau Basisschool De Werkschuit,0352::SB3,3962 JD,1788,1181,4,0,0,1,2,1096,86,0,1,0,0,0,1184,201,69,121,90,87,78,211,46,50,9,48,4,12,155
,Wijk bij Duurstede,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Stembureau Revius Lyceum,0352::SB4,3962 KT,2558,1283,0,1,0,0,0,1147,137,0,0,0,0,0,1284,289,100,147,73,89,62,145,62,39,11,38,2,24,202
,Wijk bij Duurstede,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Stembureau Basisschool De Wegwijzer,0352::SB5,3962 AD,2072,1085,2,3,0,0,1,1003,86,0,0,0,0,0,1090,174,57,122,83,71,57,157,56,52,6,38,1,22,189
,Wijk bij Duurstede,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Stembureau Basisschool De Horn,0352::SB6,3961 KE,1465,693,3,0,0,0,0,621,75,0,0,0,0,0,696,120,49,57,56,52,57,111,21,26,1,33,1,11,98
,Wijk bij Duurstede,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Stembureau Brede school Het Anker,0352::SB7,3961 KC,1458,914,1,2,0,0,0,820,97,0,0,0,0,0,917,151,41,87,77,81,85,111,50,32,9,29,0,17,144
,Wijk bij Duurstede,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Stembureau Basisschool De Regenboog,0352::SB8,3961 LA,1490,1036,3,2,0,0,0,922,119,0,0,0,0,0,1041,171,57,127,68,63,84,106,59,46,19,43,2,27,164
,Wijk bij Duurstede,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Stembureau 't Dorpshuys van Cothen,0352::SB11,3945 CB,2521,1513,6,3,0,0,1,1376,145,0,0,0,0,0,1522,280,78,332,72,98,59,141,50,41,50,49,3,30,230
,Wijk bij Duurstede,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Stembureau Dorpshuis Langbroek,0352::SB12,3947 PG,1796,1146,2,3,0,0,0,1009,143,1,0,1,0,0,1152,175,47,135,41,45,30,68,115,41,295,27,0,20,107
