contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),GROENLINKS,ChristenUnie,Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),50PLUS,DENK,U26 GEMEENTEN,Forum voor Democratie
,IJsselstein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Stadhuis,0353::SB1,3401 BK,1264,1067,5,4,0,2,2,967,109,0,0,2,0,0,1078,231,84,138,75,78,31,132,35,44,2,40,3,10,164
,IJsselstein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau OBS de Tandem,0353::SB2,3402 HP,1488,988,4,1,0,0,0,905,88,0,0,0,0,0,993,160,86,72,90,55,43,164,44,44,4,48,8,12,158
,IJsselstein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Moskee Touba,0353::SB3,3400 AA,2456,735,2,3,2,0,0,662,80,0,0,2,0,0,742,73,68,54,65,61,51,107,26,39,7,29,56,7,92
,IJsselstein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Gebouw Kanovereniging,0353::SB4,3402 MJ,1579,673,1,1,0,0,0,608,67,0,0,0,0,0,675,162,36,83,50,44,40,59,32,18,5,29,7,5,103
,IJsselstein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Ewoud,0353::SB5,3401 RH,1873,1088,2,2,0,0,0,963,129,0,0,0,0,0,1092,217,75,179,56,75,55,92,75,31,35,37,7,4,150
,IJsselstein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Ontmoetingskerk,0353::SB6,3402 BG,1516,1078,3,7,0,0,1,1006,81,0,0,0,0,0,1088,213,74,138,88,84,67,90,49,50,19,59,3,8,136
,IJsselstein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Ver.Gebouw ´t Kruispunt,0353::SB7,3401 CB,1969,1330,1,5,0,1,0,1221,116,0,0,1,0,0,1337,240,106,158,114,111,76,152,51,44,22,45,11,14,186
,IJsselstein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Dienstencentrum Oase,0353::SB8,3401 BZ,738,340,2,0,0,0,1,310,31,0,0,0,0,0,342,92,27,78,21,13,11,18,10,11,6,14,0,5,34
,IJsselstein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Ver. gebouw De Groene Olijftak,0353::SB9,3401 GL,1889,901,3,0,0,0,0,816,88,0,0,0,0,0,904,161,68,95,56,72,57,91,29,29,12,46,10,8,167
,IJsselstein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,"Stembureau CBS  de Brug, locatie het Polderheem",0353::SB10,3401 GX,1398,805,3,3,0,1,0,712,100,0,0,1,0,0,812,142,49,74,57,51,38,84,66,29,20,32,4,14,145
,IJsselstein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Schoollocatie De Opstap,0353::SB11,3401 GX,1505,1239,2,2,0,0,0,1242,1,0,0,0,0,0,1243,261,102,149,112,87,58,127,50,25,19,36,1,16,196
,IJsselstein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau WOC,0353::SB12,3401 BK,1445,848,0,0,0,0,0,770,78,0,0,0,0,0,848,193,96,65,57,50,37,97,19,21,3,24,25,13,148
,IJsselstein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau OBS de Torenuil,0353::SB13,3404 CJ,1492,821,2,8,0,0,1,747,83,0,0,0,0,0,831,161,73,73,70,60,31,81,24,31,3,19,23,10,162
,IJsselstein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Tramzicht,0353::SB14,3404 CP,2341,1303,6,2,0,0,0,1186,126,1,0,1,0,0,1312,324,108,105,110,90,64,114,41,49,5,54,18,13,208
,IJsselstein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau OBS De Trekvogel,0353::SB15,3401 GX,1235,643,1,1,0,0,0,560,85,0,0,0,0,0,645,153,55,63,60,29,30,67,29,13,7,29,6,1,101
,IJsselstein,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau School De Ark van Noach,0353::SB16,3403 ZS,1658,673,6,0,0,0,2,610,67,0,0,0,0,0,679,155,55,82,48,44,33,67,29,29,0,27,8,6,90
