contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Democraten 66 (D66),SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),GROENLINKS,Partij voor de Dieren,50PLUS,Lokale Partijen Gelderland-Code Oranje,Forum voor Democratie,DENK
Nijmegen,Druten,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Gemeentehuis,0225::SB1,6651 DA,1349,967,0,2,0,0,1,868,100,0,0,0,0,0,969,156,136,71,99,65,88,8,3,61,24,67,9,159,21
Nijmegen,Druten,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau 's Heeren Loo,0225::SB2,6651 AM,1459,467,0,2,0,0,0,422,45,0,2,0,0,0,467,80,50,36,51,32,32,13,0,45,25,30,5,67,1
Nijmegen,Druten,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Bondsgebouw,0225::SB3,6651 AL,1503,1015,3,0,0,0,0,925,93,0,0,0,0,0,1018,199,128,84,86,84,78,12,1,61,31,55,11,184,1
Nijmegen,Druten,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,"Stembureau Wijkcentrum ""de Doorkijk""",0225::SB4,6651 HZ,1407,765,2,3,0,0,1,691,78,0,0,0,0,0,770,105,46,53,49,88,60,15,3,76,28,49,10,129,54
Nijmegen,Druten,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Kulturhus De Meent,0225::SB5,6654 BX,1336,778,7,3,0,0,0,692,96,0,0,0,0,0,788,146,97,43,70,60,69,11,1,50,23,55,10,139,4
Nijmegen,Druten,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Dorpshuis 't Trefpunt,0225::SB6,6653 BJ,1451,722,0,4,0,0,0,662,64,0,0,0,0,0,726,81,71,33,89,99,64,6,2,41,32,41,7,153,3
Nijmegen,Druten,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Dorpshuis De Lier,0225::SB7,6655 AC,1652,840,7,1,0,0,1,770,77,0,0,0,0,0,848,143,119,59,92,64,57,14,6,52,23,51,6,146,8
Nijmegen,Druten,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Dorpshuis Horssen,0225::SB8,6631 AT,1314,814,4,3,0,0,0,722,99,0,0,0,0,0,821,140,177,71,56,49,61,13,3,52,25,43,11,112,1
Nijmegen,Druten,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau Basisschool De Appelhof,0225::SB9,6652 BE,1594,915,5,4,0,0,2,817,105,0,0,0,0,0,924,197,69,66,78,52,87,13,1,105,26,45,11,131,34
Nijmegen,Druten,PS2019_Gelderland,Provinciale Staten Gelderland 2019,,Gelderland,2019-03-20,Stembureau D'n Bogerd,0225::SB10,6651 KH,1653,534,2,1,0,0,0,479,58,0,0,0,0,0,537,86,52,38,58,59,39,7,0,45,18,29,8,88,7
