contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,SP (Socialistische Partij),PVV (Partij voor de Vrijheid),Democraten 66 (D66),ChristenUnie,GROENLINKS,50PLUS,Sterk Lokaal,Forum voor Democratie,Partij voor de Dieren,Onafhankelijke Partij Drenthe,DENK,Staatkundig Gereformeerde Partij (SGP),Senioren Belang
,Noordenveld,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Verzorgingscentrum de Hullen,1699::SB1,9301 HW,1405,851,2,0,0,0,1,786,67,1,0,1,0,0,854,122,152,80,42,33,66,54,79,28,17,99,41,25,0,3,10
,Noordenveld,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Gemeentehuis,1699::SB2,9301 AA,1912,1310,1,1,0,0,0,1204,108,0,0,0,0,0,1312,288,183,112,43,66,101,95,134,30,16,186,38,9,0,1,8
,Noordenveld,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Fletcher Hotel Langewold,1699::SB3,9301 NR,1408,957,3,0,0,3,0,895,62,0,3,0,0,0,957,106,147,98,73,68,55,90,86,24,13,134,23,17,1,14,8
,Noordenveld,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Bibliotheek Roden,1699::SB4,9301 AH,1609,831,1,1,0,2,0,783,52,0,0,2,0,0,835,106,172,78,48,44,46,72,58,44,15,112,14,12,1,4,5
,Noordenveld,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau De Open Hof,1699::SB5,9301 SJ,1200,654,4,2,0,1,0,615,44,0,1,0,0,0,659,50,117,59,33,34,38,83,75,31,15,84,16,12,0,3,4
,Noordenveld,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,"Stembureau Odbs ""het Valkhof""",1699::SB6,9301 SP,1212,953,0,1,0,1,0,899,56,0,0,1,0,0,955,104,158,58,64,33,84,75,130,33,24,120,45,19,1,3,2
,Noordenveld,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau dienstencentrum Geerties Hoes,1699::SB7,9302 DC,1336,756,2,1,0,0,0,700,59,0,0,0,0,0,759,124,124,75,34,13,81,60,93,18,19,74,15,18,1,2,5
,Noordenveld,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau 't Dörpshuus NijRoon,1699::SB8,9311 PB,1442,1048,6,0,0,1,0,958,95,0,1,0,0,0,1053,113,179,66,64,47,81,92,142,50,25,130,30,20,0,7,2
,Noordenveld,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Obs De Poolster,1699::SB9,9311 VA,1568,746,1,1,0,0,0,678,70,0,0,0,0,0,748,86,99,71,47,41,44,70,101,18,22,112,18,11,0,3,3
,Noordenveld,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau cafe het Rode Hert,1699::SB10,9315 PB,610,401,2,0,0,0,0,372,31,0,0,0,0,0,403,63,57,30,20,18,41,15,72,13,12,28,18,11,0,0,3
,Noordenveld,PS2019_Drenthe,Provinciale Staten Drenthe 2019,,Drenthe,2019-03-20,Stembureau Cafe De Waag,1699::SB11,9312 PB,874,574,0,0,0,0,0,531,43,0,0,0,0,0,574,88,80,48,34,35,42,48,58,21,11,67,28,12,0,1,1
