contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),GROENLINKS,ChristenUnie,Partij voor de Dieren,Staatkundig Gereformeerde Partij (SGP),50PLUS,DENK,U26 GEMEENTEN,Forum voor Democratie
,Utrechtse Heuvelrug,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Nieuw Salem,1581::SB1,3971 CA,1714,1174,3,3,0,1,0,1063,116,0,1,0,0,0,1179,164,131,105,95,38,43,254,50,97,41,25,8,17,106
,Utrechtse Heuvelrug,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau CBS Instituut Coolsma,1581::SB2,3971 KW,1562,1198,3,1,0,0,0,1084,118,0,0,0,0,0,1202,288,185,104,56,30,24,196,54,70,27,26,0,10,128
,Utrechtse Heuvelrug,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Sparrenheide,1581::SB3,3971 DA,1715,1234,3,3,2,0,0,1113,129,0,0,2,0,0,1242,245,176,119,94,28,31,188,89,78,28,44,1,6,107
,Utrechtse Heuvelrug,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Pauluskerk,1581::SB4,3972 EJ,1358,774,5,2,0,0,0,696,85,0,0,0,0,0,781,104,82,62,42,19,32,185,60,68,30,18,6,6,60
,Utrechtse Heuvelrug,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Beukenhorst,1581::SB5,3972 HA,1567,997,2,7,0,0,0,893,113,0,0,0,0,0,1006,145,104,87,66,37,29,190,75,73,66,25,16,11,73
,Utrechtse Heuvelrug,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Immanuëlkerk,1581::SB6,3972 JH,1960,826,3,6,0,1,0,836,0,0,0,1,0,0,836,96,101,62,39,27,36,171,66,57,19,19,49,12,72
,Utrechtse Heuvelrug,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau CBS De Uilenburcht,1581::SB7,3972 XD,1499,1074,1,3,0,0,0,974,104,0,0,0,0,0,1078,176,124,112,79,56,16,176,68,52,21,40,24,16,114
,Utrechtse Heuvelrug,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Gereformeerde Kerk de Bron,1581::SB8,3972 DC,1586,1070,0,1,0,0,0,973,98,0,0,0,0,0,1071,165,93,126,76,48,34,183,76,50,23,29,8,20,139
,Utrechtse Heuvelrug,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau 't Hoge Licht,1581::SB9,3972 PX,1895,1231,3,1,0,1,0,1106,130,0,0,1,0,0,1236,171,110,117,99,48,69,228,97,59,14,53,15,9,142
,Utrechtse Heuvelrug,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Ontmoetingskapel,1581::SB10,3951 AB,1319,908,4,1,0,0,0,845,68,0,0,0,0,0,913,186,84,99,57,36,23,145,48,72,27,31,2,9,89
,Utrechtse Heuvelrug,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Dorpskerk,1581::SB11,3953 MH,989,681,5,2,0,0,0,616,73,0,0,1,0,1,689,139,45,80,43,41,15,68,46,21,66,21,1,11,84
,Utrechtse Heuvelrug,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Kerk De Ark,1581::SB12,3951 LC,1231,542,0,3,0,0,0,485,60,0,0,0,0,0,545,150,52,48,25,14,4,70,33,30,12,24,0,11,69
,Utrechtse Heuvelrug,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Twee Marken,1581::SB13,3951 CR,1226,1218,1,1,0,0,0,1126,94,0,0,0,0,0,1220,249,171,134,87,28,32,186,65,67,18,41,0,20,120
,Utrechtse Heuvelrug,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Kerkgebouw De Ark,1581::SB14,3958 CG,1371,888,3,1,0,0,0,798,96,2,0,2,0,0,894,183,98,109,50,21,10,105,49,37,69,25,4,16,112
,Utrechtse Heuvelrug,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Proloog,1581::SB15,3958 KA,1622,983,4,2,0,1,0,882,108,0,0,1,0,0,990,134,66,118,59,85,47,90,63,32,56,29,3,10,191
,Utrechtse Heuvelrug,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Ridderhof,1581::SB16,3958 DC,1402,762,2,3,0,0,1,690,76,0,0,0,0,0,767,130,63,94,45,41,29,84,52,18,39,31,0,9,127
,Utrechtse Heuvelrug,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Buurthucht,1581::SB17,3959 AM,1203,784,1,0,0,0,0,674,111,0,0,0,0,0,785,68,16,63,12,39,22,32,95,19,303,9,1,4,101
,Utrechtse Heuvelrug,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau Michaëlhuis,1581::SB18,3956 BW,1563,1006,4,1,0,0,1,896,114,0,0,0,0,0,1011,164,61,132,50,41,29,114,61,33,125,33,2,16,145
,Utrechtse Heuvelrug,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau WereldKidz Meander,1581::SB19,3956 EW,1583,794,2,3,0,0,1,727,71,0,0,0,0,0,799,133,76,87,42,33,33,100,42,54,35,39,3,9,108
,Utrechtse Heuvelrug,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Schermerij,1581::SB20,3956 HA,1473,943,1,1,0,3,1,860,87,0,0,3,0,0,948,156,57,112,85,58,37,111,53,63,32,45,1,11,122
,Utrechtse Heuvelrug,PS2019_Utrecht,Provinciale Staten Utrecht 2019,,Utrecht,2019-03-20,Stembureau De Binder,1581::SB21,3956 ED,1428,1019,1,2,0,2,0,923,101,0,0,2,0,0,1024,181,70,98,67,62,39,100,45,69,35,45,4,25,179
